DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2023-01-01,North America,9456.72,118.26,2636.7
2023-01-01,Europe,2001.17,2427.49,1078.47
2023-01-01,Asia,2377.24,2794.91,1783.86
2023-01-01,South America,765.82,73.71,9393.56
2023-01-01,Africa,887.19,2201.47,598.84
2023-01-02,North America,1393.2,4840.11,1384.24
2023-01-02,Europe,4606.57,1913.75,356.68
2023-01-02,Asia,1020.62,620.68,7029.74
2023-01-02,South America,6141.34,1547.6,4293.92
2023-01-02,Africa,3990.16,422.79,3663.28
2023-01-03,North America,4008.33,2298.06,61.07
2023-01-03,Europe,300.3,1562.07,5671.59
2023-01-03,Asia,8821.87,2326.3,3240.09
2023-01-03,South America,1947.88,1144.85,2993.35
2023-01-03,Africa,949.25,358.86,3628.51
2023-01-04,North America,2019.54,1325.19,2422.33
2023-01-04,Europe,7723.04,1573.55,242.39
2023-01-04,Asia,3445.1,2746.69,5742.43
2023-01-04,South America,1208.29,811.79,4380.52
2023-01-04,Africa,1052.86,2515.6,1922.41
2023-01-05,North America,4153.14,507.73,698.95
2023-01-05,Europe,356.77,2759.81,2.25
2023-01-05,Asia,1744.65,2441,1346.54
2023-01-05,South America,2498.9,238.81,1828.51
2023-01-05,Africa,5483.09,1711.98,10348.82
2023-01-06,North America,1741.43,174.07,936.71
2023-01-06,Europe,6946.72,6568.41,610.91
2023-01-06,Asia,6749.82,782.6,3649.64
2023-01-06,South America,86.91,38.66,9130.18
2023-01-06,Africa,934.06,1322.84,2729.75
2023-01-07,North America,4757.86,130.76,2681.57
2023-01-07,Europe,3077.08,1059.03,5438.77
2023-01-07,Asia,125.84,1321.19,3891.83
2023-01-07,South America,2001.53,1973.02,264.59
2023-01-07,Africa,4413.56,2208.6,1458.93
2023-01-08,North America,14068.13,693.52,272.12
2023-01-08,Europe,680.74,829.35,1297.59
2023-01-08,Asia,486.74,6870.22,10347.33
2023-01-08,South America,1330.89,1065.78,1343.84
2023-01-08,Africa,2351.23,971.53,5749.09
2023-01-09,North America,10685.82,4914.82,2807.79
2023-01-09,Europe,4379.11,392.79,501.15
2023-01-09,Asia,2537.51,1217.01,7245.6
2023-01-09,South America,51.25,1258.33,177.34
2023-01-09,Africa,1982.94,2569.72,7402.08
2023-01-10,North America,1061,533,314.55
2023-01-10,Europe,2789.73,1854.84,6017.88
